,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,averageDeadstockPrice,lastSale,changePercentage
913,Jordan 1 Mid SE All-Star Carbon Fiber (2021) (GS),Nike,100,2021-03-06,200,245,13,242,56,384,122,0.208855,7574,210,214,-0.18189
914,Jordan 11 Retro Low Citrus (2021) (W),Nike,185,2021-05-06,181,341,13,250,95,397,92,0.136495,7388,220,239,-0.053674
915,Jordan 1 Retro AJKO Billie Eilish Ghost Green (W),Nike,170,2021-09-30,124,413,13,270,124,618,80,0.180492,6931,205,119,-0.338023
916,Jordan 1 Low White University Red Black,Nike,90,2020-09-01,106,223,13,180,152,267,65,0.129822,6669,131,199,0.050643
917,Jordan 1 Retro High OG Patent Bred (PS),Nike,80,2021-12-30,116,262,13,121,85,350,70,0.09968,5521,132,126,-0.16
918,Nike Air VaporMax Plus White,Nike,190,2018-02-28,169,242,13,200,130,490,111,0.123374,4792,197,260,0.520468
919,Jordan 1 Mid Chicago Black Toe (GS),Nike,90,2020-04-01,121,300,13,174,70,295,100,0.125376,4659,175,168,-0.017411
920,Nike Blazer Low sacai White Magma Orange,Nike,120,2021-06-10,84,500,13,125,103,239,49,0.199402,4566,119,105,-0.122807
921,Nike Dunk Low Barely Green (W),Nike,100,2021-05-21,135,218,13,172,119,333,61,0.216265,4393,167,130,-0.361197
922,adidas Yeezy Boost 380 Alien Blue,Adidas,230,2021-05-31,200,428,13,275,157,421,128,0.046609,4222,250,230,-0.041667
923,adidas Ultra Boost 4.0 DNA Grey Three,Adidas,180,2021-02-07,101,107,13,130,46,300,35,0.197865,3737,102,153,0.026846
924,Jordan 1 Mid White Black Light Arctic Pink (GS),Nike,90,2020-10-01,156,179,13,174,56,331,101,0.133474,3532,201,175,0.121795
925,Jordan 1 Retro High Dark Mocha (GS),Nike,130,2020-10-31,419,287,13,526,127,826,323,0.048055,3384,508,550,0.122449
926,Nike Blazer Low sacai KAWS Purple Dusk,Nike,140,2021-12-10,94,726,13,100,92,729,60,0.172943,3339,148,102,-0.089286
927,New Balance 990v3 JJJJound Olive,New Balance,250,2022-02-24,339,298,13,537,322,1176,285,0.094119,3281,449,427,-0.186667
