,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,averageDeadstockPrice,lastSale,changePercentage
231,Jordan 6 Retro UNC White (GS),Nike,160,2022-04-27,107,984,58,138,65,310,84,0.114113,8503,183,137,0.280374
232,Jordan 1 Mid SE Dark Chocolate,Nike,130,2021-11-26,120,673,58,165,201,600,101,0.079864,8329,164,153,0.176923
233,adidas Yeezy Boost 350 V2 Black (Non-Reflective),Adidas,220,2019-06-07,418,752,58,450,254,857,276,0.069305,4747,526,418,-0.016471
234,adidas Yeezy 700 V3 Fade Carbon,Adidas,210,2022-05-21,168,984,58,228,209,350,151,0.123493,1267,239,174,-0.243478
235,New Balance 991 Aime Leon Dore MiUK Grey,New Balance,275,2022-05-30,289,434,58,363,202,664,288,0.069271,170,366,403,0.225258
236,Jordan 12 Retro Royalty Taxi,Nike,190,2021-11-13,185,851,56,270,237,561,160,0.120792,33960,247,208,0
237,adidas Yeezy Boost 350 V2 Static Black (Reflective),Adidas,220,2019-06-06,350,735,55,501,304,1420,323,0.096798,10520,507,461,-0.027426
238,Nike Air Max 1 SP Concepts Heavy,Nike,170,2022-03-12,157,738,55,362,671,699,153,0.139998,8067,246,339,0.185218
239,Nike Dunk Low Retro Next Nature Sequoia,Nike,110,2022-05-10,100,629,55,137,152,221,81,0.104193,4301,142,126,0.05
240,Jordan 1 Retro High OG Hand Crafted,Nike,170,2021-12-18,155,1795,54,200,269,1200,137,0.093672,12674,205,154,-0.0375
241,Nike Dunk Low Essential Paisley Pack Barley (W),Nike,120,2022-05-01,125,233,54,170,285,336,108,0.091724,1180,157,150,0.102941
242,adidas Yeezy Boost 350 V2 Mono Cinder,Adidas,220,2021-06-24,214,1398,53,305,171,1000,176,0.119971,24376,287,283,-0.007018
243,New Balance 990v3 JJJJound Brown Black,New Balance,250,2022-05-12,205,962,53,317,422,807,166,0.164608,1561,356,324,0.472727
244,adidas Yeezy 450 Sulfur,Adidas,200,2022-05-07,149,828,53,210,125,700,130,0.12456,1187,185,160,0.066667
245,New Balance 9060 Joe Freshgoods Inside Voices Penny Cookie Pink,New Balance,180,2022-05-18,270,376,53,381,483,945,255,0.06342,1110,357,295,-0.016667
246,Jordan 11 Retro Low Legend Blue,Nike,185,2021-05-07,239,878,52,295,226,430,84,0.091075,18541,248,248,0.002678
247,adidas Yeezy Boost 350 V2 Zyon,Adidas,220,2020-07-18,233,1406,52,273,245,460,90,0.155177,12917,272,261,0.086723
248,Nike Air Max 2017 Triple Black,Nike,190,2017-01-01,95,274,52,140,139,282,71,0.134907,3770,138,111,0.193548
249,Jordan 1 Mid SE Brown Basalt Oatmeal (W),Nike,130,2022-03-30,108,311,52,148,108,307,95,0.137755,2907,181,135,0
250,Nike Killshot 2 J Crew Sail Midnight Navy,Nike,90,2017-02-25,56,276,52,110,74,250,46,0.090116,2878,92,88,0.011494
251,Jordan 1 High Zoom Air CMFT Anthracite,Nike,140,2022-05-10,128,482,52,210,166,296,101,0.122279,2566,157,139,-0.162651
252,adidas Yeezy Slide Pure (Restock Pair) (Kids),Adidas,50,2022-03-07,70,380,52,90,83,159,51,0.137313,1811,85,70,-0.027778
253,Jordan 11 Retro Low 72-10 (GS),Nike,135,2022-05-14,101,554,52,105,33,209,76,0.094255,1322,139,135,0.285714
254,Jordan 9 Retro Chile Red (GS),Nike,140,2022-05-07,130,347,51,140,43,400,86,0.063506,2759,176,153,0.013245
255,Jordan 2 Retro SP Union Rattan,Nike,225,2022-04-15,188,883,51,375,399,1198,189,0.163209,2458,359,479,0.977529
256,Nike PG 6 All Star Weekend (2022),Nike,120,2022-04-22,105,148,51,160,117,381,81,0.211524,2285,143,127,0.058333
257,New Balance 57/40 Sea Salt Calm Taupe (W),New Balance,100,2022-01-03,96,153,51,125,43,260,70,0.114589,1232,129,118,-0.048387
258,Jordan 5 Retro Raging Bull Red (2021),Nike,190,2021-04-10,155,1180,50,254,232,599,60,0.299039,30533,229,165,-0.172601
259,Jordan 1 Retro High Shadow 2.0,Nike,170,2021-05-15,229,1496,50,300,295,548,91,0.054829,27081,267,250,0.086957
260,Jordan 1 Mid Gym Red Black White,Nike,120,2021-08-01,120,769,50,270,247,327,75,0.088918,24870,167,174,-0.105818
261,adidas Yeezy Foam RNNR Vermillion,Adidas,80,2021-10-29,189,691,50,380,196,977,120,0.268769,20308,226,225,-0.285714
262,Nike SB Dunk Low Pro Paisley Brown,Nike,130,2022-05-01,177,721,50,235,466,653,140,0.135507,3801,234,225,0.362561
263,Nike KD 14 Aunt Pearl,Nike,160,2022-04-15,120,345,50,140,111,326,97,0.101609,1235,180,142,-0.083871
264,New Balance 9060 Joe Freshgoods Inside Voices Baby Shower Blue,New Balance,180,2022-05-18,231,489,50,441,307,858,215,0.170848,870,325,390,0.160137
265,Jordan 1 Mid White Black Purple,Nike,125,,119,368,50,150,119,280,107,0.206806,602,166,123,-0.310766
266,Jordan 11 Retro Cool Grey (2021) (GS),Nike,185,2021-12-11,164,1012,49,212,89,500,121,0.145382,30225,239,232,0.017544
267,adidas Yeezy Boost 350 V2 Carbon,Adidas,220,2020-10-02,198,1134,49,360,289,621,172,0.130341,14457,285,279,-0.017606
268,Jordan 4 Retro Fire Red (2020),Nike,200,2020-11-28,298,1039,49,381,379,612,151,0.106751,12792,367,492,0.286809
269,Nike Dunk Low PRM Halloween (2021),Nike,110,2022-04-01,170,952,49,232,258,1080,109,0.185064,12774,225,150,-0.444444
270,Jordan 1 Mid SE Grey Green,Nike,120,2021-11-17,155,819,49,173,162,351,100,0.049041,9718,169,175,0.11465
271,adidas Ultra Boost 4.0 DNA Triple Black,Adidas,200,2020-12-12,98,374,49,225,108,255,40,0.167348,5777,122,120,0.043478
272,Nike Blazer Low 77 Vintage White Black,Nike,85,2020-12-04,63,274,49,84,95,290,26,0.11135,4254,77,75,0
273,Nike Air Max 1 SH Treeline,Nike,150,2022-05-07,139,1115,49,156,598,475,130,0.104848,3470,204,152,0.039724
274,Crocs Classic Clog Cinnamon Toast Crunch,Crocs,70,2022-04-28,130,79,49,210,125,399,72,0.186762,2324,118,135,0.125
275,Nike Air Force 1 Low Triple Red,Nike,110,2020-02-01,100,233,48,127,186,275,41,0.169251,8297,122,146,0.292035
276,New Balance 990v5 Grey,New Balance,175,2019-02-13,140,307,48,180,196,352,90,0.145505,5362,164,157,-0.048485
277,Jordan 11 Retro Low Pure Violet (W),Nike,190,2022-04-28,154,815,48,160,118,338,120,0.055677,4216,206,150,-0.0625
278,adidas Yeezy 450 Cinder,Adidas,210,2022-03-24,196,727,48,265,225,500,147,0.105104,3832,232,252,0.054393
279,Nike Air Force 1 Low '07 Essential White Worn Blue Paisley (W),Nike,100,2021-12-29,94,349,48,124,150,375,89,0.127749,2157,125,138,0.32
280,Common Projects Original Achilles White,Common Projects,415,2004-01-01,256,309,48,350,94,495,164,0.045289,1677,269,257,0.107759
281,Jordan 1 Retro High OG Heritage (GS),Nike,140,2022-05-25,99,744,48,105,103,206,89,0.12536,1659,126,106,0.06
282,Nike Dunk Low USA (W),Nike,100,,109,226,48,138,93,413,92,0.199225,284,140,112,-0.410526
283,adidas Yeezy Foam RNR Desert Sand (Kids),Adidas,65,2022-06-11,97,77,48,106,35,180,85,0.051322,53,112,108,0.136842
284,adidas Yeezy Boost 350 V2 Ash Pearl,Adidas,220,2021-03-20,240,988,47,324,206,499,141,0.116904,9473,296,315,0.266111
285,Jordan 3 Retro Cardinal (GS),Nike,150,2022-02-19,130,1061,47,140,78,289,100,0.076358,8953,170,147,-0.06962
286,adidas Yeezy Foam RNNR Mist,Adidas,90,2022-03-11,178,603,47,218,129,329,143,0.088082,6920,198,185,-0.170404
287,Nike SB Dunk Low Polaroid,Nike,120,2022-04-12,148,1000,47,205,215,416,105,0.108173,5255,193,160,0.073826
288,Jordan 1 High Element Gore-Tex Light Curry,Nike,200,2022-04-01,152,767,47,240,250,359,136,0.099295,1647,206,170,-0.076087
289,Nike Air Force 1 Low '07 QS Uno,Nike,120,2022-02-01,95,327,47,105,57,276,75,0.129141,995,140,101,0.01
290,Nike Kyrie Low 5 Community,Nike,130,,116,231,47,150,60,238,105,0.11182,168,136,105,-0.045455
291,Nike Air Max 1 Premium Blueprint,Nike,160,2022-03-26,188,526,46,223,564,600,160,0.123718,4299,245,196,-0.039216
292,Jordan 1 High Zoom Air CMFT Easter (W),Nike,140,2021-08-19,139,289,46,182,80,417,100,0.075688,3745,201,162,0.140845
293,Nike Air Force 1 Low Carabiner Swoosh Red,Nike,130,2022-03-01,112,177,46,135,140,342,61,0.202101,1479,155,120,0
294,Nike Air Max Koko Triple Black (W),Nike,120,2021-04-09,65,44,46,100,68,184,30,0.211314,554,83,77,-0.214286
295,adidas Yeezy Foam RNR Desert Sand (Infants),Adidas,45,2022-06-11,80,81,46,86,27,149,70,0.074874,52,95,90,-0.081633
296,Jordan 4 Retro Infrared (GS),Nike,160,2022-06-15,181,345,45,180,181,338,125,0.026889,838,227,181,0
297,Nike Dunk Low Archeo Pink (W),Nike,100,2021-10-23,180,1053,45,218,181,358,108,0.140741,14732,180,170,-0.356061
298,Jordan 1 Mid Triple White 2.0 (2020),Nike,115,2020-06-01,109,578,45,128,139,323,40,0.10666,13100,143,105,-0.125118
299,Jordan 13 Retro Court Purple,Nike,190,2022-01-08,175,1375,45,210,152,600,145,0.114237,12009,211,175,0.096221
300,Jordan 1 Mid Armory Navy (GS),Nike,85,2022-03-29,103,437,45,102,128,242,95,0.151532,4445,136,103,-0.119709
301,Nike Air Max 2 CB 94 Suns,Nike,160,2022-02-01,177,125,45,230,206,600,135,0.130671,1441,201,191,-0.194093
302,Nike SB Dunk Low Pro Be True,Nike,115,2022-06-22,188,142,45,200,136,419,120,0.142301,85,214,175,-0.074074
303,Jordan 1 Retro High OG Prototype ,Nike,170,2021-09-24,141,914,44,201,188,599,130,0.092001,15317,208,192,0.097291
304,Jordan 4 Retro Red Thunder (GS),Nike,140,2022-01-15,175,648,44,244,129,600,148,0.177996,13052,243,268,0.118473
305,adidas Yeezy Boost 350 V2 Israfil,Adidas,220,2020-08-22,273,817,44,312,210,475,166,0.048349,8220,300,291,0.053586
306,Jordan 1 Mid SE Siempre Familia,Nike,150,2021-10-29,101,342,44,140,176,378,79,0.165074,5298,155,126,0.155963
307,Nike Air Force 1 High '07 SP Billie Eilish Mushroom,Nike,170,2022-04-25,115,642,44,139,128,488,100,0.123126,2492,184,174,0.249344
308,Nike Dunk Low Jackie Robinson (GS),Nike,0,2022-05-01,140,101,44,175,92,335,103,0.100028,825,185,184,0.005464
309,Nike Dunk Low Light Smoke Grey (W),Nike,100,2022-05-01,178,126,44,303,199,437,153,0.054836,370,200,185,0.057143
310,Nike Air Trainer 1 Chlorophyll (2022),Nike,120,2022-05-20,92,427,43,156,197,302,75,0.162476,1941,146,178,0.348485
311,Jordan 5 Retro Moonlight (2021),Nike,190,2021-09-25,210,1194,43,217,226,550,156,0.162368,30780,233,178,-0.179724
312,Jordan 4 Retro Lightning (2021) (GS),Nike,150,2021-08-28,150,712,43,196,120,323,90,0.075176,19370,185,173,-0.064865
313,Nike LD Waffle SF sacai Fragment Grey,Nike,170,2021-09-15,274,849,43,475,314,706,225,0.114747,16671,420,442,0.045034
314,Nike Dunk Low Next Nature White Gym Red (W),Nike,105,2022-05-12,200,404,43,255,227,392,148,0.051861,4005,209,211,0.010905
315,Nike Air Zoom Flight 95 OG Black Metallic Silver (2022),Nike,160,2022-05-06,136,343,43,235,125,379,116,0.236763,1049,191,146,-0.170455
316,Jordan 1 Low Black White Grey (GS),Nike,75,2021-07-26,189,308,42,259,84,296,90,0.097334,11889,146,196,0.12
317,adidas Yeezy Foam RNNR MX Sand Grey,Adidas,80,2021-12-11,257,353,42,375,172,537,150,0.121282,10876,251,383,0.490272
318,Nike Dunk Low PRM Halloween (2021) (GS),Nike,95,2022-04-01,106,682,42,117,102,378,103,0.065213,6255,160,119,0.081818
319,Jordan 1 Retro High 85 Georgetown,Nike,200,2022-04-02,232,819,42,406,516,1025,225,0.110308,5874,387,374,-0.066763
320,Jordan 1 Mid Shadow Red (GS),Nike,95,2021-10-06,94,790,42,98,83,211,78,0.08075,5166,117,94,-0.069307
321,New Balance 550 White Green Black,New Balance,110,2021-09-01,132,184,42,167,112,417,102,0.147578,4331,175,166,0.152329
322,Nike Air Force 1 Low Flax (2019/2022),Nike,100,2019-09-09,110,318,42,132,185,313,89,0.091962,3865,145,120,0.164663
323,Nike Dunk Low Clear Blue Swoosh (GS),Nike,85,2022-04-22,97,409,42,119,111,195,80,0.166595,2815,130,130,-0.153559
324,Jordan 1 High Zoom Air CMFT Pumpkin Spice,Nike,140,2022-01-05,116,344,42,189,124,350,110,0.137696,2609,164,180,0.084337
325,Nike Air Max 90 Terrascape Black Lime Ice,Nike,140,2021-10-28,101,410,42,120,134,415,90,0.12634,2512,150,126,-0.1
326,Jordan 1 Low Ashen Slate,Nike,110,,161,304,42,175,231,249,124,0.109566,1344,163,174,-0.179245
327,Jordan 1 Elevate Low SE University Blue (W),Nike,140,2022-04-15,94,446,42,135,130,241,80,0.078854,1320,146,145,0.150794
328,Nike PG 6 Fluoro,Nike,120,2022-02-07,102,205,42,150,60,303,65,0.170601,1096,131,114,-0.142857
329,Nike Dunk High Australia,Nike,110,,123,167,42,150,172,257,111,0.157883,718,149,154,0.006536
330,Nike Air Presto Hello Kitty (2022) (PS),Nike,95,2022-05-27,93,126,42,109,96,202,76,0.087759,625,106,105,0.009615
331,Jordan 5 Retro Green Bean (2022) (GS),Nike,150,2022-05-28,100,581,42,107,36,220,95,0.097404,403,139,115,-0.101563
332,Nike Air Trainer SC High Royals,Nike,130,2022-05-18,154,89,42,185,66,225,134,0.09926,142,177,153,-0.159341
333,Jordan 1 Low SE True Blue,Nike,1110,2022-06-22,123,312,41,150,149,399,115,0.052911,675,175,123,-0.115108
334,Puma LaMelo Ball MB.01 UFO,Puma,120,2022-06-16,170,73,41,160,56,302,166,0.07325,51,192,188,0.105882
335,Nike Dunk Low Next Nature White Light Orewood Brown (W),Nike,105,2022-01-22,205,307,41,251,263,369,125,0.082584,6462,200,200,-0.156118
336,Nike Dunk High Light Chocolate,Nike,125,2022-02-23,140,600,41,221,199,715,131,0.059416,5667,220,161,0.087838
337,Jordan 8 Retro SE Rui Hachimura Black Samurai,Nike,225,2022-05-23,202,656,41,340,327,709,180,0.050446,1139,308,258,0.011765
338,Nike Air Max 1 Travis Scott Cactus Jack Wheat Lemon Drop,Nike,160,,918,117,41,1100,280,3000,706,0.156987,199,1514,1100,-0.083333
339,Nike Dunk Low Cider,Nike,110,2022-05-10,133,687,40,171,248,539,120,0.073531,5959,186,132,-0.108108
340,adidas Yeezy Slide Soot,Adidas,55,2020-09-04,146,452,40,230,157,499,90,0.144778,20830,183,208,-0.095652
341,Jordan 4 Retro University Blue,Nike,200,2021-04-28,400,1036,40,454,497,784,0,0.084673,19823,410,509,0.371662
342,adidas Yeezy 450 Cloud White,Adidas,200,2021-03-06,247,706,40,340,156,590,181,0.156753,10766,289,325,0.090604
343,New Balance 550 UNC White University Blue,New Balance,110,2022-01-25,190,520,40,230,274,539,129,0.112829,8293,204,287,0.551326
344,Nike Air Max Plus Triple Black,Nike,150,2017-12-20,136,322,40,155,132,338,89,0.155295,6549,167,131,-0.366834
345,Jordan 5 Retro Jade Horizon,Nike,190,2022-04-09,159,1208,40,200,215,950,135,0.085338,6018,226,189,-0.095694
346,Jordan 1 Retro High Element Gore-Tex Black Particle Grey,Nike,200,2021-12-04,156,1248,39,257,194,501,128,0.092225,5506,236,165,0.024845
347,New Balance 550 Joe Freshgoods Conversations Amongst Us,New Balance,120,2022-04-15,211,310,39,300,360,640,183,0.164468,2616,252,273,0.276308
348,Jordan 1 Retro Low Golf Triple White,Nike,140,2022-01-20,132,573,39,151,169,400,100,0.250266,2554,157,127,-0.028877
349,Nike Air Max Plus atmos White Hyper Jade,Nike,175,2021-12-07,126,395,39,152,110,388,127,0.223949,2025,189,141,-0.098853
350,New Balance 530 Steel Grey,New Balance,110,2021-01-21,95,174,39,165,64,292,76,0.149227,1281,122,121,-0.141165
351,Jordan 1 Low Tie-Dye,Nike,110,,107,652,39,138,141,237,100,0.13042,990,141,144,0.2
352,Jordan 1 Mid SE Zen Master (GS),Nike,110,2022-06-23,104,407,39,102,74,176,90,0.133861,785,121,107,-0.240535
353,Jordan 5 Retro Easter (2022) (GS),Nike,150,2022-05-27,131,338,39,150,48,220,120,0.154027,765,163,138,-0.233333
354,Nike Air VaporMax 2021 FK Black Anthracite,Nike,200,2022-06-01,140,353,38,151,155,345,50,0.082063,4195,168,146,0
355,Jordan 3 Retro Racer Blue,Nike,190,2021-07-10,240,596,38,260,225,544,0,0.064849,33878,237,274,-0.074324
356,Jordan 1 Low UNC (2021),Nike,90,2021-07-27,197,607,38,255,276,355,75,0.152396,26122,172,191,-0.13048
357,adidas Yeezy Slide Glow Green,Adidas,60,2021-09-06,120,599,38,175,107,749,75,0.201742,23607,148,120,-0.361702
358,Nike Dunk Low SE Easter Candy (W),Nike,110,2021-06-25,144,221,38,305,223,449,100,0.291986,21994,172,183,-0.141271
359,adidas Yeezy Slide Resin,Adidas,55,2021-04-26,129,539,38,215,147,364,86,0.172859,18133,174,147,-0.196721
360,Nike Dunk Low Michigan (2021),Nike,100,2021-06-03,223,440,38,266,255,628,69,0.093901,16390,218,267,0.117155
361,Jordan 1 Retro High White Black Volt University Gold,Nike,170,2021-01-09,135,1422,38,167,204,326,102,0.064616,8615,190,123,-0.130143
362,New Balance 550 White Black,New Balance,110,2021-12-01,143,373,38,215,195,495,110,0.24204,7627,174,148,-0.212766
363,Nike Air Force 1 Low White Gum,Nike,120,2021-03-31,91,410,38,100,165,225,60,0.111784,5991,118,143,0.58862
364,Converse Chuck Taylor All-Star 70 Hi Comme des Garcons PLAY White,Converse,125,2019-01-27,118,299,38,156,111,342,51,0.232425,5718,165,115,-0.27673
365,Nike Air Force 1 Shadow Triple White (W),Nike,120,2019-10-03,85,415,38,94,151,198,33,0.159282,3988,103,108,0.269971
366,Jordan 1 Low Football Grey Aluminum (W),Nike,100,2022-04-08,145,591,38,170,199,372,138,0.159106,3574,187,161,-0.134409
367,New Balance 550 White Royal Black,New Balance,110,2021-09-01,101,151,38,146,87,349,66,0.220023,1956,138,100,-0.280576
368,Nike LeBron 9 Low LeBronald Palmer (2022),Nike,200,2022-05-19,99,376,38,215,138,498,54,0.291961,1523,172,108,-0.027027
369,Nike Dunk Low Essential Paisley Pack Green (W),Nike,120,2022-03-10,167,264,38,284,144,624,170,0.185008,1277,252,199,0.170588
370,New Balance 990v2 MiUSA Teddy Santis Sea Salt,New Balance,195,2022-05-24,225,387,38,275,244,684,200,0.161306,351,271,236,0.029216
371,Nike Dunk Low Graffiti Black Red,Nike,110,,112,192,38,140,98,280,86,0.107966,288,119,112,-0.210891
372,Jordan 1 Mid Elephant Print,Nike,115,,128,356,38,142,93,316,102,0.087254,287,141,151,0.179688
373,Nike Dunk Low EMB NBA 75th Anniversary Chicago (GS),Nike,85,2022-03-01,96,729,37,109,111,243,83,0.101434,11347,120,109,-0.025918
374,Jordan 1 Mid Barcelona Sweater Red Patent,Nike,115,2021-11-19,124,487,37,177,127,259,60,0.136719,8271,151,126,-0.163723
375,Nike Dunk Low Harvest Moon (W),Nike,100,2022-02-02,179,1003,37,266,155,428,163,0.087826,7643,233,181,0.005556
376,Nike Dunk Low Retro Sun Club Multi (W),Nike,110,,127,670,37,131,104,250,105,0.059716,823,154,130,0.074184
377,Jordan 1 Mid White Black Racer Blue,Nike,115,2021-08-05,160,480,36,170,163,344,48,0.116904,27121,160,184,0.210526
378,Jordan 1 Mid Barely Rose (W),Nike,110,2021-05-07,127,513,36,257,109,382,92,0.22207,13670,195,130,-0.236372
379,Jordan 1 Retro High Silver Toe (W),Nike,170,2021-02-19,169,1120,36,300,206,429,121,0.081971,11998,220,214,-0.097046
380,Nike Air Max 1 Patta Waves Noise Aqua (with Bracelet),Nike,160,2021-11-04,188,685,36,375,481,581,150,0.344141,11477,272,190,-0.397849
381,Jordan 1 Retro High Royal Toe,Nike,170,2020-05-09,236,1167,36,325,253,613,200,0.17528,8919,314,313,0.118163
382,Nike Hot Step Air Terra Drake NOCTA Black,Nike,180,2022-03-03,138,483,36,210,180,650,66,0.174666,2192,274,251,-0.012639
383,Jordan 1 Mid SE Pastel Vivid Green Grind (GS),Nike,110,2022-03-25,91,329,36,90,54,219,76,0.092489,2135,119,93,0.01087
384,Nike Air Max 1 Light Madder Root Worn Blue,Nike,140,,126,423,36,166,345,421,120,0.134355,1159,177,148,-0.120542
385,Puma LaMelo Ball MB.01 Galaxy (GS),Puma,95,2022-04-29,86,279,36,130,36,241,75,0.075553,1147,110,95,0.043956
386,New Balance 2002R Bone Light Aluminum,New Balance,140,2020-09-01,120,205,36,205,90,435,100,0.240217,885,180,121,-0.136003
387,Jordan 1 Low Cardinal Red,Nike,110,2022-03-29,110,541,36,115,152,225,100,0.133954,758,141,126,0.076923
388,Nike Air Presto Hello Kitty (2022) (TD),Nike,80,2022-05-27,88,171,36,91,64,216,28,0.046142,569,94,92,0.082353
389,Jordan 1 Low Lemonade (W),Nike,100,,140,227,36,125,48,289,116,0.095323,113,159,129,-0.212686
390,Jordan 1 Mid Wolf Grey Aluminum (W),Nike,115,2021-07-15,208,523,35,267,155,482,130,0.120704,26437,206,282,0.144806
391,Jordan 1 Mid Light Smoke Grey (W),Nike,120,2021-10-11,164,991,35,230,170,360,130,0.06951,24197,212,235,0.077982
392,Jordan 11 Retro Jubilee 25th Anniversary,Nike,220,2020-12-12,240,1394,35,384,263,518,141,0.117052,15394,310,275,0.145833
393,Nike Kobe 6 Protro Mambacita Sweet 16,Nike,180,2022-05-01,436,808,35,980,541,2479,430,0.154065,2933,712,930,0.347826
394,Jordan 1 Low Light Madder Root (W),Nike,100,2021-03-01,115,403,35,116,95,278,95,0.060043,2499,137,119,0.072072
395,New Balance 2002R Joe Freshgoods Conversations Amongst Us,New Balance,130,2022-04-15,137,624,35,170,202,1400,130,0.143848,1755,206,155,0.040268
396,Nike Dunk Low LX Banana (W),Nike,120,2022-05-01,99,770,35,125,94,217,99,0.153265,740,146,129,-0.192831
397,Vans Vault UA Knu-Skool VR3 LX Imran Potato Black White,Vans,130,2022-05-21,169,173,35,200,228,398,113,0.154157,583,210,229,0.523684
398,Jordan 1 Mid Blue Mint (GS),Nike,90,2021-02-12,94,244,35,100,70,211,90,0.115918,267,122,111,0.11
399,Nike Air Force 1 Low Luxe Brown Basalt,Nike,140,2022-06-14,155,58,34,245,96,315,130,0.189502,70,219,214,-0.320635
400,Nike Dunk Low Georgetown,Nike,100,2021-11-05,234,630,34,305,240,463,140,0.086485,28822,223,240,-0.2
401,adidas Yeezy 450 Dark Slate,Adidas,200,2021-06-26,309,472,34,394,223,1100,214,0.170294,23478,311,331,-0.015641
402,Jordan 1 Retro High OG Patent Bred (GS),Nike,130,2021-12-30,149,918,34,226,143,509,124,0.165421,15001,273,160,-0.352227
403,New Balance 2002R Protection Pack Rain Cloud,New Balance,150,2021-08-20,262,367,34,532,311,1226,185,0.325062,7055,345,233,-0.162457
404,Nike Dunk Low Union Passport Pack Court Purple,Nike,150,2022-03-31,267,749,34,334,294,922,225,0.10798,2994,340,269,-0.046109
405,adidas Yeezy Slide Onyx (Infants),Adidas,40,2021-03-07,53,426,34,57,30,191,44,0.096932,1682,67,54,0.018868
406,Nike Dunk High Retro Laser Blue,Nike,110,2022-04-01,150,271,34,184,175,316,126,0.140668,1667,175,188,-0.076923
407,Jordan 1 Retro High OG Seafoam (W),Nike,170,2021-08-12,229,724,33,296,214,424,0,0.123815,25783,255,297,-0.083333
408,Jordan 1 Mid Carbon Fiber All-Star (2021),Nike,125,2021-02-01,184,803,33,250,201,469,82,0.123282,16113,205,175,-0.078947
409,Jordan 1 Mid Banned (2020) (GS),Nike,90,2020-11-13,99,953,33,115,94,196,57,0.085289,12487,116,113,0.189474
410,adidas Yeezy 500 Clay Brown,Adidas,200,2021-09-18,210,1039,33,220,124,622,150,0.09142,10192,227,233,0.322624
411,adidas Yeezy Boost 350 V2 Cream/Triple White,Adidas,220,2017-04-29,330,643,33,560,285,1351,244,0.555619,8732,385,301,-0.5625
412,Jordan 1 Retro High Tokyo Bio Hack,Nike,170,2020-09-04,229,771,33,310,226,700,200,0.126033,6569,275,305,0.229839
413,Jordan 6 Retro Travis Scott,Nike,250,2019-10-11,490,511,33,610,270,995,360,0.042449,2156,597,547,0.083168
414,New Balance 2002R Protection Pack Mirage Grey,New Balance,150,2022-04-01,180,412,33,250,247,541,167,0.06603,887,249,200,0.01306
415,Jordan 1 Mid Beige White Red,Nike,125,2022-04-26,131,221,33,125,59,296,105,0.102159,318,148,134,-0.028986
416,Jordan 1 Low Easter Pastel Tie-Dye (GS),Nike,90,2022-04-01,106,174,33,105,58,156,89,0.072678,247,111,108,0.009279
417,Nike Air Max Koko Black White (W),Nike,100,2020-04-10,115,33,33,101,26,174,50,0.088561,205,110,140,0.076923
418,adidas Yeezy Slide Enflame Orange,Adidas,60,2021-06-21,127,266,32,334,165,664,80,0.310799,18556,198,248,0.6
419,Jordan 1 Low Wolf Grey (W),Nike,100,2021-07-20,295,558,32,320,160,516,133,0.125074,18294,213,265,-0.060976
420,Jordan 6 Retro Carmine (2021),Nike,200,2021-02-13,152,1259,32,375,194,351,118,0.08223,12884,246,221,0.071663
421,Nike Air Max 1 Patta Waves Monarch (with Bracelet),Nike,160,2021-10-08,198,768,32,330,404,743,146,0.165902,11224,283,260,-0.019392
422,Nike Dunk High Syracuse (2021),Nike,110,2021-03-10,161,465,32,230,215,397,127,0.12883,10970,205,292,0.352657
423,Nike SB Dunk Low Mummy,Nike,110,2021-10-28,232,540,32,655,399,1268,208,0.269922,9487,459,455,0.756757
424,Nike LD Waffle sacai CLOT Kiss of Death 2 Cool Grey,Nike,180,2021-10-09,189,889,32,249,185,700,150,0.087793,9180,220,190,-0.137227
425,Jordan 1 Low Green Toe (GS),Nike,85,2021-10-12,117,360,32,126,155,269,98,0.164424,7729,137,128,0.032258
426,Jordan 13 Retro Del Sol,Nike,200,2022-03-19,174,777,32,230,117,399,135,0.072265,5161,216,210,0.141304
427,Jordan 1 Mid Metallic Gold Black White,Nike,125,2020-11-30,119,848,32,163,156,304,90,0.123332,4202,134,120,-0.12178
428,Nike Dunk High Retro Cargo Khaki (GS),Nike,90,2022-04-01,90,458,32,97,44,250,65,0.108512,3953,124,102,-0.019231
429,Nike Blazer Mid 77 Jumbo White Black,Nike,110,2021-11-04,72,269,32,95,95,226,45,0.16144,3823,103,108,0.102041
430,Nike Dunk Low Vintage Navy (W),Nike,100,2022-03-04,236,276,32,326,199,665,191,0.118779,2597,290,310,0.359463
431,Nike Go FlyEase Black Gum,Nike,120,2021-02-15,99,222,32,155,65,392,70,0.123081,1027,155,147,0.148438
432,Jordan 12 Retro Emoji (GS),Nike,150,2022-06-01,139,159,32,155,48,269,85,0.047439,398,169,162,-0.063584
433,ASICS Gel-Lyte III Sneaker Politics Always Ready,Asics,150,2022-05-30,140,224,32,280,151,500,120,0.091679,216,195,203,0.371622
434,adidas Yeezy 700 V3 Dark Glow,Adidas,200,2021-08-02,285,484,31,355,176,544,198,0.090686,16564,275,278,-0.088525
435,Nike Air Force 1 Low SP Supreme Wheat,Nike,150,2021-11-05,198,511,31,335,234,529,155,0.157049,11462,201,219,0.018605
436,Jordan 4 Retro Taupe Haze,Nike,200,2021-02-27,360,618,31,420,324,677,32,0.121438,8385,407,410,0.242424
